"","id","community","housing_type","gender","tenure","hhhead_relation","business_owned","business_type","primary_dw_source","reasons_primary_dw","secondary_dw_source","reasons_secondary_dw","preferred_brand","primary_water_source","secondary_water_source","payment_mode","daily_hh_water_cost","daily_hh_water_cost_phhm","coping_mechanisms","time_of_last_coping","dbl_variable","value"
"1",1,"abuja","block_unit","female","rented","self","no","na","packaged","convenience;taste;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","1","1","sachet_to_cook;skipped_bathing","last_3_days","years_in_community",0
"2",1,"abuja","block_unit","female","rented","self","no","na","packaged","convenience;taste;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","1","1","sachet_to_cook;skipped_bathing","last_3_days","adult_count",1
"3",1,"abuja","block_unit","female","rented","self","no","na","packaged","convenience;taste;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","1","1","sachet_to_cook;skipped_bathing","last_3_days","child_count",0
"4",1,"abuja","block_unit","female","rented","self","no","na","packaged","convenience;taste;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","1","1","sachet_to_cook;skipped_bathing","last_3_days","hh_size",1
"5",1,"abuja","block_unit","female","rented","self","no","na","packaged","convenience;taste;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","1","1","sachet_to_cook;skipped_bathing","last_3_days","rooms_in_hh",1
"6",1,"abuja","block_unit","female","rented","self","no","na","packaged","convenience;taste;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","1","1","sachet_to_cook;skipped_bathing","last_3_days","density",1
"7",1,"abuja","block_unit","female","rented","self","no","na","packaged","convenience;taste;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","1","1","sachet_to_cook;skipped_bathing","last_3_days","daily_dw_cost_pp",4.5
"8",1,"abuja","block_unit","female","rented","self","no","na","packaged","convenience;taste;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","1","1","sachet_to_cook;skipped_bathing","last_3_days","storage",0
"9",1,"abuja","block_unit","female","rented","self","no","na","packaged","convenience;taste;other","na","na","high_end","commercial_tap","packaged","pay_to_fetch","1","1","sachet_to_cook;skipped_bathing","last_3_days","days_struggle",2
"10",2,"abuja","wood_unit","female","rented","self","yes","food","packaged","temperature","na","na","high_end","commercial_tap","commercial_tap","pay_to_fetch","28","4.666666666666667","skipped_cooking;skipped_bathing;closed_business;skipped_laundry","last_7_days","years_in_community",2
"11",2,"abuja","wood_unit","female","rented","self","yes","food","packaged","temperature","na","na","high_end","commercial_tap","commercial_tap","pay_to_fetch","28","4.666666666666667","skipped_cooking;skipped_bathing;closed_business;skipped_laundry","last_7_days","adult_count",6
"12",2,"abuja","wood_unit","female","rented","self","yes","food","packaged","temperature","na","na","high_end","commercial_tap","commercial_tap","pay_to_fetch","28","4.666666666666667","skipped_cooking;skipped_bathing;closed_business;skipped_laundry","last_7_days","child_count",1
"13",2,"abuja","wood_unit","female","rented","self","yes","food","packaged","temperature","na","na","high_end","commercial_tap","commercial_tap","pay_to_fetch","28","4.666666666666667","skipped_cooking;skipped_bathing;closed_business;skipped_laundry","last_7_days","hh_size",7
"14",2,"abuja","wood_unit","female","rented","self","yes","food","packaged","temperature","na","na","high_end","commercial_tap","commercial_tap","pay_to_fetch","28","4.666666666666667","skipped_cooking;skipped_bathing;closed_business;skipped_laundry","last_7_days","rooms_in_hh",1
"15",2,"abuja","wood_unit","female","rented","self","yes","food","packaged","temperature","na","na","high_end","commercial_tap","commercial_tap","pay_to_fetch","28","4.666666666666667","skipped_cooking;skipped_bathing;closed_business;skipped_laundry","last_7_days","density",7
"16",2,"abuja","wood_unit","female","rented","self","yes","food","packaged","temperature","na","na","high_end","commercial_tap","commercial_tap","pay_to_fetch","28","4.666666666666667","skipped_cooking;skipped_bathing;closed_business;skipped_laundry","last_7_days","daily_dw_cost_pp",5
"17",2,"abuja","wood_unit","female","rented","self","yes","food","packaged","temperature","na","na","high_end","commercial_tap","commercial_tap","pay_to_fetch","28","4.666666666666667","skipped_cooking;skipped_bathing;closed_business;skipped_laundry","last_7_days","storage",0
"18",2,"abuja","wood_unit","female","rented","self","yes","food","packaged","temperature","na","na","high_end","commercial_tap","commercial_tap","pay_to_fetch","28","4.666666666666667","skipped_cooking;skipped_bathing;closed_business;skipped_laundry","last_7_days","days_struggle",0
"19",3,"abuja","block_unit","male","owned","child","yes","shop","packaged","affordability;availability;temperature","piped_to_home","convenience","none","piped_to_home","commercial_tap","shares_bill","na","na","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","years_in_community",20
"20",3,"abuja","block_unit","male","owned","child","yes","shop","packaged","affordability;availability;temperature","piped_to_home","convenience","none","piped_to_home","commercial_tap","shares_bill","na","na","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","adult_count",3
"21",3,"abuja","block_unit","male","owned","child","yes","shop","packaged","affordability;availability;temperature","piped_to_home","convenience","none","piped_to_home","commercial_tap","shares_bill","na","na","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","child_count",1
"22",3,"abuja","block_unit","male","owned","child","yes","shop","packaged","affordability;availability;temperature","piped_to_home","convenience","none","piped_to_home","commercial_tap","shares_bill","na","na","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","hh_size",4
"23",3,"abuja","block_unit","male","owned","child","yes","shop","packaged","affordability;availability;temperature","piped_to_home","convenience","none","piped_to_home","commercial_tap","shares_bill","na","na","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","rooms_in_hh",2
"24",3,"abuja","block_unit","male","owned","child","yes","shop","packaged","affordability;availability;temperature","piped_to_home","convenience","none","piped_to_home","commercial_tap","shares_bill","na","na","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","density",2
"25",3,"abuja","block_unit","male","owned","child","yes","shop","packaged","affordability;availability;temperature","piped_to_home","convenience","none","piped_to_home","commercial_tap","shares_bill","na","na","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","daily_dw_cost_pp",5
"26",3,"abuja","block_unit","male","owned","child","yes","shop","packaged","affordability;availability;temperature","piped_to_home","convenience","none","piped_to_home","commercial_tap","shares_bill","na","na","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","storage",50
"27",3,"abuja","block_unit","male","owned","child","yes","shop","packaged","affordability;availability;temperature","piped_to_home","convenience","none","piped_to_home","commercial_tap","shares_bill","na","na","sachet_to_cook;skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_7_days","days_struggle",2
"28",4,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;trustworthiness","na","na","high_end","commercial_tap","na","pay_to_fetch","28","4","na","na","years_in_community",1
"29",4,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;trustworthiness","na","na","high_end","commercial_tap","na","pay_to_fetch","28","4","na","na","adult_count",7
"30",4,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;trustworthiness","na","na","high_end","commercial_tap","na","pay_to_fetch","28","4","na","na","child_count",0
"31",4,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;trustworthiness","na","na","high_end","commercial_tap","na","pay_to_fetch","28","4","na","na","hh_size",7
"32",4,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;trustworthiness","na","na","high_end","commercial_tap","na","pay_to_fetch","28","4","na","na","rooms_in_hh",1
