"","id","draft_date","community","housing_type","gender","tenure","years_in_community","adult_count","child_count","hh_size","rooms_in_hh","density","primary_dw_source","dw_reason_convenience","dw_reason_affordable","dw_reason_available","dw_reason_cold","dw_reason_clean","dw_reason_taste","dw_reason_habit","dw_reason_trustworthy","dw_reason_health","dw_reason_other","primary_water_source","secondary_water_source","payment_mode_primary","payment_mode_secondary","daily_hh_water_cost","daily_hh_water_cost_phhm","storage","binary_struggle","time_of_last_struggle","weekdays_struggle","coping_sachet_to_cook","coping_skipped_cooking","coping_sachet_to_bathe","coping_skipped_bathing","coping_closed_business","coping_skipped_laundry"
"1",1,2023-11-03 10:25:56,"abuja","block_unit","female","rented",0,1,0,1,1,1,"packaged",1,0,0,0,0,1,0,0,0,0,"commercial_tap","packaged","pay_to_fetch","pay_to_fetch",1,1,0,"Yes","last_7_days",2,1,0,0,1,0,0
"2",2,2023-11-03 10:46:58,"abuja","wood_unit","female","rented",2,6,1,7,1,7,"packaged",0,0,0,1,0,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",28,4,0,"No","have_not_struggled",0,0,1,0,1,1,1
"3",3,2023-11-03 12:52:23,"abuja","block_unit","male","owned",20,3,1,4,2,2,"packaged",0,1,1,1,0,0,0,0,0,0,"piped_to_home","commercial_tap","shares_bill","commercial_tap",NA,NA,50,"Yes","last_7_days",2,1,1,1,1,0,1
"4",4,2023-11-03 13:07:49,"abuja","block_unit","female","rented",1,7,0,7,1,7,"packaged",0,0,0,0,1,0,0,1,0,0,"commercial_tap",NA,"pay_to_fetch","na",28,4,0,"Yes","last_3_days",0,0,0,0,0,0,0
"5",5,2023-11-03 13:23:59,"abuja","block_unit","female","rented",20,5,5,10,1,10,"packaged",0,0,0,0,1,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",32.5,3.25,100,"Yes","last_year",0,0,1,1,1,0,1
"6",6,2023-11-03 14:05:47,"abuja","wood_unit","female","owned",40,5,0,5,4,1.25,"packaged",0,0,0,0,1,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",15.5714285714286,3.11428571428571,0,"Yes","last_3_days",0,1,1,0,0,0,1
"7",7,2023-11-03 14:24:35,"abuja","wood_unit","female","rented",14,2,1,3,1,3,"packaged",1,0,0,0,1,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",20,6.66666666666667,0,"Yes","last_3_days",2,1,1,1,1,0,1
"8",8,2023-11-04 10:45:36,"abuja","other","female","owned",30,3,2,5,2,2.5,"packaged",0,0,0,0,0,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",19.1428571428571,3.82857142857143,300,"Yes","last_year",0,1,1,1,0,0,1
"9",9,2023-11-04 11:06:46,"abuja","other","female","rented",6,2,5,7,1,7,"packaged",1,0,0,0,0,0,0,0,0,1,"commercial_tap","packaged","pay_to_fetch","pay_to_fetch",9.14285714285714,1.30612244897959,0,"Yes","last_7_days",2,1,0,1,1,0,1
"10",10,2023-11-04 11:28:37,"abuja","other","female","rented",20,1,1,2,1,2,"packaged",1,0,0,0,0,0,0,0,0,0,"piped_to_compound",NA,"shares_bill","na",NA,NA,0,"Yes","last_30_days",0,1,0,0,1,0,1
"11",11,2023-11-04 11:45:51,"abuja","block_unit","female","rented",10,1,4,5,1,5,"packaged",1,0,0,0,0,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",2,0.4,0,"Yes","last_7_days",0,0,0,0,1,0,0
"12",12,2023-11-04 12:00:14,"abuja","block_unit","female","owned",30,2,4,6,1,6,"commercial_tap",0,1,0,0,1,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",34,5.66666666666667,0,"Yes","last_3_days",1,0,1,0,0,0,1
"13",13,2023-11-04 12:23:55,"abuja","block_unit","female","owned",17,3,2,5,1,5,"packaged",0,0,0,0,1,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",18,3.6,0,"Yes","last_year",0,1,1,0,1,0,1
